==9993== NVPROF is profiling process 9993, command: /root/.virtualenvs/cv/bin/python gpu-opt_flow.py
==9993== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==9993== Execution timeout, stopping the application...
==9993== Profiling application: /root/.virtualenvs/cv/bin/python gpu-opt_flow.py
==9993== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
5.99811s  588.14us           (15 135 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [449]
5.99878s     781ns                    -               -         -         -         -       24B  29.306MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99886s     261ns                    -               -         -         -         -       24B  87.694MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99892s     261ns                    -               -         -         -         -       24B  87.694MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99898s     313ns                    -               -         -         -         -        4B  12.188MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99903s     208ns                    -               -         -         -         -        4B  18.340MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99908s     261ns                    -               -         -         -         -        4B  14.616MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99913s     208ns                    -               -         -         -         -        4B  18.340MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99923s     260ns                    -               -         -         -         -       24B  88.031MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.00018s     625ns                    -               -         -         -         -  126.56KB  193.12GB/s      Device           -  NVIDIA Tegra X1         1        19  [CUDA memset]
6.00027s     313ns                    -               -         -         -         -  126.56KB  385.62GB/s      Device           -  NVIDIA Tegra X1         1        20  [CUDA memset]
6.01351s     990ns                    -               -         -         -         -       40B  38.532MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.01363s  21.895ms           (8 1080 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [473]
6.03551s  22.666ms           (8 1080 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [479]
6.05811s  132.45us             (8 17 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [475]
6.05824s  122.24us             (8 17 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [481]
6.05835s  164.59us            (1 135 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [477]
6.05851s  162.92us            (1 135 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [483]
6.05885s  230.11us             (8 17 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [486]
6.05909s  738.98us            (1 135 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [489]
6.05983s  62.762us             (8 17 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [495]
6.05989s  251.83us             (8 17 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [497]
6.06015s  732.26us            (1 135 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [500]
6.06088s  57.866us             (8 17 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [506]
6.06094s  251.94us             (8 17 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [508]
6.06120s  733.04us            (1 135 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [511]
6.06193s  56.303us             (8 17 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [517]
6.06388s  141.15us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [522]
6.06402s  137.40us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [524]
6.06415s  57.970us             (4 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [526]
6.06421s  58.596us             (4 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [528]
6.07417s  1.0410us                    -               -         -         -         -       20B  18.322MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.07431s  12.091ms           (8 1080 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [543]
6.08639s  12.094ms           (8 1080 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [549]
6.09847s  257.56us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [545]
6.09872s  251.78us            (15 34 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [551]
6.09897s  629.86us            (2 270 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [547]
6.09960s  630.23us            (2 270 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [553]
6.10043s  1.0918ms            (15 34 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [556]
6.10152s  2.9226ms            (2 270 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [559]
6.10445s  218.81us            (15 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [565]
6.10467s  1.0273ms            (15 34 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [567]
6.10570s  2.9147ms            (2 270 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [570]
6.10862s  214.75us            (15 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [576]
6.10884s  1.0019ms            (15 34 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [578]
6.10984s  2.9080ms            (2 270 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [581]
6.11275s  207.77us            (15 34 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [587]
6.11720s  548.45us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [594]
6.11775s  543.19us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [596]
6.11829s  216.67us             (8 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [598]
6.11850s  213.03us             (8 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [600]
6.14931s     990ns                    -               -         -         -         -        8B  7.7065MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.14947s  6.6774ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [615]
6.15614s  6.6726ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [621]
6.16281s  577.10us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [617]
6.16338s  571.37us            (30 68 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [623]
6.16395s  2.5031ms            (4 540 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [619]
6.16645s  2.5008ms            (4 540 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [625]
6.16915s  4.2011ms            (30 68 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [628]
6.17335s  13.504ms            (4 540 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [631]
6.18686s  848.57us            (30 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [637]
6.18771s  3.9045ms            (30 68 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [639]
6.19162s  13.660ms            (4 540 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [642]
6.20528s  838.41us            (30 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [648]
6.20613s  3.7418ms            (30 68 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [650]
6.20987s  13.373ms            (4 540 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [653]
6.22325s  823.72us            (30 68 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [659]
6.22498s  2.1694ms           (60 135 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [664]
6.22715s  2.1640ms           (60 135 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [666]
6.22931s  877.84us           (15 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [668]
6.23018s  863.30us           (15 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003629_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [670]
6.35036s  1.1980us                    -               -         -         -         -        8B  6.3684MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.35054s  6.6779ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [685]
6.35722s  6.6700ms           (8 1080 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [690]
6.36388s  1.1683ms                    -               -         -         -         -  7.9102MB  6.6122GB/s      Device      Device  NVIDIA Tegra X1         1        19  [CUDA memcpy DtoD]
6.36505s  1.1735ms                    -               -         -         -         -  7.9102MB  6.5828GB/s      Device      Device  NVIDIA Tegra X1         1        20  [CUDA memcpy DtoD]
6.36622s  9.9966ms           (8 1080 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        19  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [688]
6.37621s  9.9947ms           (8 1080 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        20  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [693]
6.38654s  15.563ms           (60 135 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [696]
6.40211s  60.597ms           (8 1080 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [699]
6.46271s  3.3565ms           (60 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [705]
6.46607s  14.412ms           (60 135 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [707]
6.48049s  59.369ms           (8 1080 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [710]
6.53986s  3.3020ms           (60 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [716]
6.54316s  14.245ms           (60 135 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [718]
6.55741s  59.263ms           (8 1080 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [721]
6.61668s  3.2894ms           (60 135 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        19  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [727]
6.63948s  1.9371ms           (60 135 1)        (32 8 1)        19        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  void cv::cudev::grid_split_merge_detail::mergeC2<cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<int>, int2, cv::cudev::WithOutMask>(int, cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<cv::cudev::GlobPtr<int>>, int2, int, int) [738]
6.64267s  153.51ms                    -               -         -         -         -  15.820MB  103.06MB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
7.16523s  710.07us                    -               -         -         -         -  1.9775MB  2.7197GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.16810s  718.09us                    -               -         -         -         -  1.9775MB  2.6893GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.18485s  610.90us           (15 135 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        24  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [770]
7.19036s  590.49us           (15 135 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        25  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [773]
7.19103s     782ns                    -               -         -         -         -       24B  29.269MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.19110s     261ns                    -               -         -         -         -       24B  87.694MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.19116s     312ns                    -               -         -         -         -       24B  73.360MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.19127s     261ns                    -               -         -         -         -        4B  14.616MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.19132s     260ns                    -               -         -         -         -        4B  14.672MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.19138s     260ns                    -               -         -         -         -        4B  14.672MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
7.19144s     260ns                    -               -         -         -         -        4B  14.672MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
